NO.,Date,Origin Time (UTC),Latitude,Longitude,Depth(Km),Magnitude(degree),Location
93,31-01-2022,17:41:09,34.4706,45.504,5,2.7,Darband Juq -  Khanaqin - Garmian
94,31-01-2022,18:51:14,35.6823,45.9733,15,2.2,Dara Gurgan -  Penjwin - Sulaymanyah
95,31-01-2022,19:04:58,35.1891,45.7456,15,1.8,balakjar -  Darbandihkan  - Sulaymanyah
96,31-01-2022,22:45:52,35.19,45.7918,15,2.1, Darbandihkan lake  - Sulaymanyah
97,1/2/22,1:54:10,38.9552,43.3608,7,3.9,Van Lake - Turkey
98,1/2/22,2:25:39,38.8024,43.7341,7,3.7,Van  - Turkey
99,1/2/22,21:22:20,33.7757,46.3959,11,2.9,Ilam - Iran
100,2/1/22,23:08:36,33.6075,48.0536,11,3.5,Lorestan - Iran
101,2/2/22,16:51:09,36.596,45.1852,5,2.1,West Azerbaijan - Iran
102,2/2/22,19:13:14,34.9972,44.6844,5,2.2,Tooz - Kirkuk
103,3/2/22,6:58:52,35.8588,46.0281,15,2.5,Baneh - Iran
104,3/2/22,21:06:20,35.8077,45.7378,15,2.4,Sharbazher-Bosken -Sulaymaniyah
105,4/2/22,1:09:37,35.9362,45.7745,15,1.8,Baneh - Iran
106,4/2/22,1:25:46,35.9605,45.8471,10.4,1.7,Baneh - Iran
107,5/2/22,13:44:01,35.805,45.9733,15,2.6, Kani Harme - Penjwin - Sulaymaniyah
108,6/2/22,0:02:41,33.6088,47.303,15,3.1,Lorestan - Iran
109,6/2/22,1:20:33,37.3534,44.6199,15,2.3,Hakkari -  Turkey
110,7/2/22,19:55:21,34.7942,45.9227,15,3.1,Kermanshah - Iran
111,8/2/22,4:29:18,36.2122,44.8338,15,2,Chwarqurna -  Ranya -  Sulaymaniyah
112,9/2/22,4:00:56,35.8912,45.8443,10,1.9,Baneh - Iran
113,9/2/22,18:39:43,34.4162,45.3115,2,2.7, Abd Allah Bayk -Khanaqin -Garmian
114,10/2/22,6:18:12,33.0374,46.3803,15,3.3,Ilam - Iran
115,10/2/23,9:57:47,34.8147,46.1848,5,2.3,Kermanshah - Iran
116,10/2/24,14:58:29,38.1246,48.1097,6,3.6,Ardabil - Iran
117,10/2/25,17:26:37,37.575,44.1041,12,3.1,Hakkari-Turkey
118,12/2/22,8:21:41,36.582,45.267,15,2.5,West Azerbaijan - Iran
119,12/2/22,15:30:25,35.3269,45.4403,11.2,2,wlyan -Darbandihkan - Sulaymaniyah
120,13-02-2022,2:39:46,35.8664,45.7671,15,1.8,Balkeh - Iran
121,13-02-2022,3:49:21,36.7634,44.2873,5,2.5, Mergasur - Soran - Hawler
122,14-02-2022,1:11:12,36.2415,44.8094,10,2,Hajiawa Rania - Sulaymaniyah
123,15-02-2022,2:53:55,36.2941,45.2811,15,2.1,Pshdar - Iraq - Iran - Border
124,15-02-2022,15:50:21,37.7922,44.7481,8,3.3,West Azerbaijan - Urmia - Iran
125,16-02-2022,9:11:59,34.791,46.133,5,2.5,Kermanshah - Iran
126,16-02-2022,20:17:55,36.0454,45.3768,11,1.9,West Azerbaijan - Iran
127,17-02-2022,11:49:27,34.6487,45.7425,5,2.6,Kermanshah - Iran
128,19-02-2022,1:16:01,35.8436,44.6302,5,1.9,Chamchamal  - Sulaymaniyah
